Filename,original_vars,original_constraints,clausal_constraints,alk_constraints,alk_general,alk_amo,alk_vars_eliminated,alk_seconds,total_seconds,total_extracted_constraints,ple_real_time,extraction_real_time,cache_hits_verified,cache_hits_unverified,cache_misses,verification_time,testing_verification_time,sat_verification_time,bdd_verification_time,testing_successes,testing_failures,sat_successes,sat_failures,bdd_successes,bdd_failures
01d494c2afa4960a236bf8412e2bd08a-manol-pipe-c10id_s,178837,530383,530383,0,-1,-1,-1,52.208,52.519,0,0.32,53.51,0,1495,28,37.242,36.261,0.000,0.000,0,9,0,0,0,0
01dd5feb463fa80f73809718f6ff735b-10pipe_q0_k,77639,2081358,2081358,0,-1,-1,-1,302.186,303.787,0,1.10,308.07,0,953,3,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0205e0724a8a912dde9ad7dfba2aee0b-003-23-80,4288,75391,75391,0,-1,-1,-1,0.052,0.124,0,0.09,0.32,0,18,31,0.001,0.000,0.000,0.000,0,1,0,0,0,0
02066c116dbacc40ec5cca2067db26c0-mrpp_4x4#12_12,2672,14307,14307,0,-1,-1,-1,0.210,0.217,0,0.01,0.25,0,346,30,0.000,0.000,0.000,0.000,0,0,0,0,0,0
021331d523ad3092616ff99cf0c6c355-arcfour_initialPermutation_6_14,105743,404197,404197,0,-1,-1,-1,13.434,13.708,0,0.25,14.55,0,306,19,11.900,11.734,0.000,0.000,0,14,0,0,0,0
021686368317a35103f1f671f783d958-velev-npe-1.0-9dlx-b71,889302,14582052,14582052,0,-1,-1,-1,-1773006557.963,-1773006543.894,0,8.28,1020.31,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0216f9d35f2b695b904fffb312e3e611-cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19,39550,128330,128330,0,-1,-1,-1,0.476,0.540,0,0.09,0.77,0,4711,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0
02197ec055ea06c347bf1c6ceb6facf7-slp-synthesis-aes-bottom24,62686,197331,197331,0,-1,-1,-1,25.340,25.461,0,0.12,25.84,0,62,51,18.038,16.539,0.000,0.000,0,46,0,0,0,0
02223564bd2f5c20768e63cf28c785e3-mp1-squ_ali_s10x10_c39_abio_SAT,1672,5207,5207,0,-1,-1,-1,0.074,0.078,0,0.01,0.09,0,0,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0
02257f12aa71e6622d2bf4d0f7111ebf-sgen1-unsat-139-100.cnf.mis-105.debugged,14841,28923,28923,0,-1,-1,-1,0.201,0.215,0,0.02,0.27,0,0,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0227c865edaeda75e13eea36d57b7eed-sdiv40prop,21554,63831,63831,0,-1,-1,-1,0.764,0.793,0,0.04,0.91,0,1,2,0.000,0.000,0.000,0.000,0,0,0,0,0,0
022b841952d37f0d6a0d050c9b4b0071-goldb-heqc-i8mul,14524,91139,91139,0,-1,-1,-1,0.046,0.104,0,0.06,0.27,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
022dc7e9935f3570c088db58bd84b2c6-mrpp_6x6#12_8,3893,21659,21659,0,-1,-1,-1,0.056,0.068,0,0.06,0.11,0,496,28,0.000,0.000,0.000,0.000,0,0,0,0,0,0
02404a08ea36dd43362bbddc578c839d-ctl_4201_555_unsat,17374,144538,144538,0,-1,-1,-1,12.513,12.604,0,0.09,12.89,0,0,1,0.089,0.003,0.000,0.000,0,1,0,0,0,0
0240f5bddc39ad2f0a786c811fc434a8-SC21_Timetable_C_542_E_71_Cl_36_S_35,395916,2715882,2501978,1032,980,52,105886,216.178,218.672,1032,1.69,224.31,1023,14098,35,109.296,107.202,0.845,0.000,9,11,9,0,0,0
0241f35c5752768d2b0580533d143a14-53-131587,31983,834621,834621,0,-1,-1,-1,9.041,9.658,0,0.42,11.13,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
024af9416f8c1dad1b4f974757e38d51-8-5-6,74124,1739431,1739431,0,-1,-1,-1,51.155,52.655,0,0.91,56.52,0,56,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0261b44c278c36459061c368aa00575a-EDP3-12000,100282,750397,750397,0,-1,-1,-1,29.024,29.590,0,0.47,31.24,0,0,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0
02627689047d06fbb642eef14768d751-ps_200_300_70,312901,1533706,1533706,0,-1,-1,-1,2.371,3.393,0,1.09,6.72,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0278eee117c3821771e2d18d710a89ad-equilarge_l5.sat05-522.reshuffled-07,4478,18519,18519,0,-1,-1,-1,0.012,0.025,0,0.02,0.06,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
028d0cc7af63e9bba5795f20e24db4f6-pyhala-braun-sat-35-4-04.shuffled,7383,23811,23811,0,-1,-1,-1,0.495,0.509,0,0.03,0.56,0,0,1182,0.326,0.320,0.000,0.000,0,2,0,0,0,0
0294158664d9ada36bd23fbb652cb823-smtlib-qfbv-aigs-countbits128-tseitin,95810,287041,287041,0,-1,-1,-1,36.729,36.858,0,0.18,37.38,0,8000,5,33.053,32.714,0.000,0.000,0,3,0,0,0,0
0297c2a35f116ffd5382aea5b421e6df-Urquhart-s3-b3.shuffled-as.sat03-1556,45,376,376,0,-1,-1,-1,0.000,0.001,0,0.00,0.01,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
02b69d0e5c2b68d5c3d650164b6c277d-Q3inK08,28,1680,1680,0,-1,-1,-1,0.049,0.053,0,0.01,0.06,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
02bc149bbe801807912f651c7bad3e74-dead-dnd008.shuffled-as.sat05-3114,1568,13423,13423,0,-1,-1,-1,0.033,0.050,0,0.02,0.08,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
02c3f1d24074cba45a64d0b4b5aa0238-g2-hwmcc15deep-bobpcihm-k32,204319,566625,566625,0,-1,-1,-1,16.523,16.851,0,0.46,18.12,0,6,8,1.690,0.932,0.000,0.000,0,2,0,0,0,0
02c6fe8483e4f4474b7ac9731772535d-ncc_none_7047_6_3_3_0_0_420,1484350,5359707,5359707,0,-1,-1,-1,-1773006542.675,-1773006538.823,0,4.75,1007.79,0,0,16,913.343,911.645,0.000,0.000,0,15,0,0,0,0
02cfa5a71b5c89a1b10b5f5a5221ed05-clauses-8,1461772,4572347,4572347,0,-1,-1,-1,-1773006540.685,-1773006537.135,0,3.55,1006.22,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
02d8847ee38504792705d794eb93e9a7-traffic_b_unsat,26061,742909,742909,0,-1,-1,-1,15.763,16.585,0,0.47,18.24,0,0,5,2.651,2.591,0.000,0.000,0,5,0,0,0,0
02eef920cd1aab9ef3492fe27bf515c4-php-025-024.shuffled-as.sat05-1191,600,7225,7225,0,-1,-1,-1,0.059,0.063,0,0.01,0.08,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
02f2343e32f9070f149708d77556b4aa-Kakuro-easy-117-ext.xml.hg_5,145123,17997887,17849051,158,158,0,68098,85.652,126.066,158,10.84,173.10,157,0,1,5.582,5.404,0.161,0.000,1,0,1,0,0,0
03041657b7177746724b819433c83b20-blocks-4-ipc5-h21-unknown,136756,905605,905605,0,-1,-1,-1,244.499,245.230,0,0.48,247.01,0,24,60,172.345,171.646,0.000,0.000,0,48,0,0,0,0
0309ea422084568c2b4df13b32094380-rbsat-v945c61409gyes1,945,61409,61409,0,-1,-1,-1,1.206,1.235,0,0.03,1.33,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
031757c0a6797eddf3e84bcefbbdb753-b2005-p2-14x14c17h9-Ser4-0,147983,14387319,14387319,0,-1,-1,-1,64.610,74.837,0,11.20,104.82,0,1726,151,39.649,39.011,0.000,0.000,0,51,0,0,0,0
031c99d72be38eedacc8b402784e9821-partial-10-17-u,298516,1111612,1111612,0,-1,-1,-1,105.551,106.214,0,0.83,108.40,0,1879,171,76.130,73.184,0.000,0.000,0,166,0,0,0,0
033560dbd1b4d3545b4b40ef90aaaa29-total-5-15-u,219756,770580,770580,0,-1,-1,-1,56.851,57.282,0,0.63,58.83,0,1454,131,35.562,33.831,0.000,0.000,0,129,0,0,0,0
0336f81b60baac5b8f481dd3c32861a5-mod4block_2vars_10gates_u2_autoenc-sc2009,479,87323,87323,0,-1,-1,-1,0.088,0.192,0,0.08,0.40,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
033743e540b7f6e2114a3e6981558795-li-test4-97.shuffled-as.sat03-375,36809,142424,142424,0,-1,-1,-1,1.398,1.679,0,0.14,2.26,0,58,6079,0.000,0.000,0.000,0.000,0,0,0,0,0,0
033d611722714d5206cc0184479e92e2-urqh2x5.shuffled-as.sat03-1473,53,432,432,0,-1,-1,-1,0.000,0.002,0,0.00,0.02,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
033f38da07bdbbad4763eaf1fe97ce37-AProVE07-27,7729,28202,28202,0,-1,-1,-1,0.534,0.550,0,0.02,0.60,0,570,17,0.200,0.197,0.000,0.000,0,2,0,0,0,0
035c200bbf0a783e4ec9656cfa9b2f68-vmpc_34.shuffled-as.sat05-1958-sc2005,1156,194072,194072,0,-1,-1,-1,0.092,0.277,0,0.10,0.61,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
036b541db9d0839b0591d408ff4f77ae-aes_decry_2_rounds.debugged,279120,1024365,1024365,0,-1,-1,-1,4.138,4.686,0,0.78,6.83,0,9386,22,0.098,0.027,0.000,0.000,0,2,0,0,0,0
0379936c75c225f1a9a113762b019da6-AProVE09-17,33894,106474,106474,0,-1,-1,-1,11.100,11.155,0,0.07,11.34,0,3371,19,10.331,10.254,0.000,0.000,0,15,0,0,0,0
037c423f56548082b1935e88c48ffdda-3col120_5_2.shuffled,240,990,990,0,-1,-1,-1,0.001,0.002,0,0.01,0.01,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
037d21e060a2e3eab8b080aa84ceee75-mm-1x10-10-10-sb.1.shuffled-as.sat03-1489,2396,83733,83733,0,-1,-1,-1,0.050,0.196,0,0.09,0.40,0,0,10,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0398e6b20de133ba8b49c74b67dad7b7-6s133-sc2014,48258,140965,140965,0,-1,-1,-1,6.140,6.216,0,0.10,6.46,0,1,137,2.621,2.383,0.000,0.000,0,10,0,0,0,0
039b45f4a3979c9176b115bb8e88342f-genurq8Sat.shuffled-as.sat03-1514,249,1118,1118,0,-1,-1,-1,0.001,0.003,0,0.01,0.01,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
03a1a18521814692f56a8ecbea0031d4-ablmulub2x32o-sc2016,5241,15431,15431,0,-1,-1,-1,0.285,0.293,0,0.01,0.32,0,0,1,0.118,0.110,0.000,0.000,0,1,0,0,0,0
03a1ada3e778fcec8a7ee0c9e685d4be-connm-ue-csp-sat-n1200-d-0.02-s1528687777.used-as.sat04-953,1156,13729,13729,0,-1,-1,-1,0.577,0.585,0,0.01,0.61,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
03a43a7ea55217f53542ed3f029963af-satch2ways16w,16883,50558,50558,0,-1,-1,-1,20.122,20.149,0,0.03,20.24,0,0,1,18.979,18.945,0.000,0.000,0,1,0,0,0,0
03b75ba4f3a1bdcc58c89e6846eecaab-x2_128.shuffled-as.sat03-1598,382,1018,1018,0,-1,-1,-1,0.001,0.002,0,0.00,0.01,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
03ba29d5cb38d345357a74a7b5ccd759-20-100-lambda100-49_sat,20396,157341,157341,0,-1,-1,-1,236.366,236.535,0,0.11,236.90,0,1,2,228.015,227.918,0.000,0.000,0,1,0,0,0,0
03bb7baaa45980753a0e7050ae44755d-atco_enc3_opt1_03_53,1296235,3987169,3987169,0,-1,-1,-1,72.228,74.202,0,2.61,80.75,0,2491,15,24.946,21.590,0.000,0.000,0,10,0,0,0,0
03c44a93577c98119dc498053888937a-ctl_4291_567_1_unsat_pre,15232,147244,147244,0,-1,-1,-1,11.940,12.034,0,0.09,12.31,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
03c5fef8cb8957ecf687548c8d504d10-SGI_30_80_21_90_2-log.shuffled-as.sat03-198,105,36422,36422,0,-1,-1,-1,0.017,0.112,0,0.04,0.23,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
03c8a9ffce923a8cb3452f18d371eacf-rook-55-0-1,172312,668242,668242,0,-1,-1,-1,96.293,96.675,0,0.41,97.94,0,0,2,78.223,78.127,0.000,0.000,0,2,0,0,0,0
