Filename,original_vars,original_constraints,clausal_constraints,alk_constraints,alk_general,alk_amo,alk_vars_eliminated,alk_seconds,total_seconds,total_extracted_constraints,ple_real_time,extraction_real_time,cache_hits_verified,cache_hits_unverified,cache_misses,verification_time,testing_verification_time,sat_verification_time,bdd_verification_time,testing_successes,testing_failures,sat_successes,sat_failures,bdd_successes,bdd_failures
01243b47967a3d012ea22e993355c833-f8bidw,424604,1264594,1264594,0,-1,-1,-1,1020.426,1021.217,0,0.81,1023.71,0,717,146,1001.199,997.508,0.000,0.000,0,105,0,0,0,0
013a51ccada51812061ed2d6504e23a5-gensys-icl003.shuffled-as.sat05-3824,2407,15484,15484,0,-1,-1,-1,0.162,0.189,0,0.02,0.25,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0141b82b3d2a411d8c2168119e2d7452-rope_0012.shuffled,432,1008,1008,0,-1,-1,-1,0.004,0.008,0,0.00,0.01,0,0,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0151bedac526ee195bc52e4134cd80e7-ssAES_4-4-8_round_8-10_faultAt_8_fault_injections_2_seed_1579630418,95816,311932,311932,0,-1,-1,-1,1000.302,1000.487,0,0.23,1001.03,0,9751,1146,987.152,985.350,0.000,0.000,0,424,0,0,0,0
0152d286cde406747d179c36a95c2fdc-shift1add.10000,219991,309978,309978,0,-1,-1,-1,146.308,146.495,0,0.28,147.13,0,0,1,144.170,143.840,0.000,0.000,0,1,0,0,0,0
01657386753a1369dd286a3fee9062e4-SGI_30_70_28_60_1-log.shuffled-as.sat03-176,140,69060,69060,0,-1,-1,-1,0.030,0.233,0,0.08,0.49,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0167ead7da1e981805564ca981f64bea-aim-200-6_0-yes1-4.cnf.mis-135.debugged,27065,53671,813,1,1,0,26464,31.900,31.945,1,0.03,31.97,0,0,1,31.575,1.297,30.245,0.000,1,0,1,0,0,0
017bba0f995e6d9921253e5a59521435-9symml_gr_2pin_w6.shuffled,2604,36991,36991,0,-1,-1,-1,0.022,0.078,0,0.04,0.16,0,2,56,0.000,0.000,0.000,0.000,0,0,0,0,0,0
01843a0195183ca14246a88bf7bad482-smulo016,2945,8734,8734,0,-1,-1,-1,0.163,0.186,0,0.01,0.20,0,0,1,0.082,0.076,0.000,0.000,0,1,0,0,0,0
0191a0bf3412ed407ba669f8d69081ee-mrpp_6x6#18_20,10841,77712,77712,0,-1,-1,-1,0.206,0.249,0,0.05,0.39,0,1302,38,0.000,0.000,0.000,0.000,0,0,0,0,0,0
01966a0fc52b2200a13f5f835275a919-SGI_30_70_27_50_3-dir.shuffled-as.sat03-169,810,68270,68270,0,-1,-1,-1,1.752,1.816,0,0.03,1.92,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
01979ca4966cc363ec3caeebd8d3fc31-connm-ue-csp-sat-n600-d0.04-s1979668539.used-as.sat04-981,564,7101,7101,0,-1,-1,-1,0.350,0.355,0,0.02,0.37,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
019dc69c96737c3d62696c9acf3edf1b-T107.2.0,3113734,10746462,10746462,0,-1,-1,-1,1118.127,1125.048,0,6.98,1142.92,0,461,87,1066.012,1061.607,0.000,0.000,0,17,0,0,0,0
01a74343f618546e9ad2a60849140317-crafted_n12_d6_c3_num26,42048,8569840,8569840,0,-1,-1,-1,786.987,790.939,0,3.36,805.95,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
01af042093bf36119811b6e658e7a231-ecgrid6x155_shuffled,1861,7442,7442,0,-1,-1,-1,0.050,0.055,0,0.01,0.07,0,0,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0
01bc4d75a43a8293132d0be627341207-E04F19,9044,295211,295211,0,-1,-1,-1,1.056,1.594,0,0.25,2.62,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
01bd0865ab694bc71d80b7d285d5777d-shuffling-2-s1480152728-of-bench-sat04-434.used-as.sat04-711,505536,1518952,1518952,0,-1,-1,-1,1007.399,1010.403,0,2.23,1014.29,0,0,200,989.865,987.602,0.000,0.000,0,68,0,0,0,0
01d142c43f3ce9a8c5ef7a1ecdbb6cba-urquhart3_25bis.shuffled,99,264,264,0,-1,-1,-1,0.000,0.001,0,0.00,0.02,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
01d494c2afa4960a236bf8412e2bd08a-manol-pipe-c10id_s,178837,530383,530383,0,-1,-1,-1,797.095,797.420,0,0.34,798.36,0,7653,532,787.372,784.796,0.000,0.000,0,370,0,0,0,0
01dd5feb463fa80f73809718f6ff735b-10pipe_q0_k,77639,2081358,2081358,0,-1,-1,-1,294.175,295.815,0,1.12,300.03,0,953,3,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0205e0724a8a912dde9ad7dfba2aee0b-003-23-80,4288,75391,75391,0,-1,-1,-1,0.048,0.120,0,0.09,0.30,0,18,31,0.001,0.000,0.000,0.000,0,1,0,0,0,0
02066c116dbacc40ec5cca2067db26c0-mrpp_4x4#12_12,2672,14307,14307,0,-1,-1,-1,0.204,0.212,0,0.02,0.29,0,346,30,0.000,0.000,0.000,0.000,0,0,0,0,0,0
021331d523ad3092616ff99cf0c6c355-arcfour_initialPermutation_6_14,105743,404197,404197,0,-1,-1,-1,1.497,1.795,0,0.26,2.67,0,494,18,0.101,0.014,0.000,0.000,0,8,0,0,0,0
021686368317a35103f1f671f783d958-velev-npe-1.0-9dlx-b71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0216f9d35f2b695b904fffb312e3e611-cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19,39550,128330,128330,0,-1,-1,-1,0.380,0.480,0,0.08,0.72,0,4711,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0
02197ec055ea06c347bf1c6ceb6facf7-slp-synthesis-aes-bottom24,62686,197331,197331,0,-1,-1,-1,31.634,31.749,0,0.12,32.10,0,5358,46,28.863,28.760,0.000,0.000,0,35,0,0,0,0
02223564bd2f5c20768e63cf28c785e3-mp1-squ_ali_s10x10_c39_abio_SAT,1672,5207,5207,0,-1,-1,-1,0.074,0.077,0,0.01,0.09,0,0,1,0.003,0.000,0.000,0.000,0,1,0,0,0,0
02257f12aa71e6622d2bf4d0f7111ebf-sgen1-unsat-139-100.cnf.mis-105.debugged,14841,28923,28923,0,-1,-1,-1,0.831,0.845,0,0.04,0.90,0,0,1,0.656,0.640,0.000,0.000,0,1,0,0,0,0
0227c865edaeda75e13eea36d57b7eed-sdiv40prop,21554,63831,63831,0,-1,-1,-1,3.346,3.376,0,0.04,3.48,0,3096,26,2.788,2.752,0.000,0.000,0,4,0,0,0,0
022b841952d37f0d6a0d050c9b4b0071-goldb-heqc-i8mul,14524,91139,91139,0,-1,-1,-1,0.053,0.162,0,0.07,0.33,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
022dc7e9935f3570c088db58bd84b2c6-mrpp_6x6#12_8,3893,21659,21659,0,-1,-1,-1,0.042,0.053,0,0.02,0.09,0,496,28,0.000,0.000,0.000,0.000,0,0,0,0,0,0
02404a08ea36dd43362bbddc578c839d-ctl_4201_555_unsat,17374,144538,144538,0,-1,-1,-1,13.015,13.100,0,0.09,13.37,0,46,7,1.389,1.382,0.000,0.000,0,5,0,0,0,0
0240f5bddc39ad2f0a786c811fc434a8-SC21_Timetable_C_542_E_71_Cl_36_S_35,395916,2715882,2501978,1032,980,52,105886,141.535,144.068,1032,1.62,149.55,1023,15016,39,81.289,80.173,0.676,0.000,9,10,9,0,0,0
0241f35c5752768d2b0580533d143a14-53-131587,31983,834621,834621,0,-1,-1,-1,8.630,9.186,0,0.42,10.70,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
024af9416f8c1dad1b4f974757e38d51-8-5-6,74124,1739431,1739431,0,-1,-1,-1,49.679,51.184,0,0.91,54.89,0,56,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0261b44c278c36459061c368aa00575a-EDP3-12000,100282,750397,750397,0,-1,-1,-1,26.341,26.894,0,0.46,28.42,0,3009,3,0.000,0.000,0.000,0.000,0,0,0,0,0,0
02627689047d06fbb642eef14768d751-ps_200_300_70,312901,1533706,1533706,0,-1,-1,-1,2.347,3.386,0,1.08,6.66,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0278eee117c3821771e2d18d710a89ad-equilarge_l5.sat05-522.reshuffled-07,4478,18519,18519,0,-1,-1,-1,0.012,0.026,0,0.04,0.06,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
028d0cc7af63e9bba5795f20e24db4f6-pyhala-braun-sat-35-4-04.shuffled,7383,23811,23811,0,-1,-1,-1,0.836,0.864,0,0.15,0.93,0,0,1185,0.709,0.707,0.000,0.000,0,3,0,0,0,0
0294158664d9ada36bd23fbb652cb823-smtlib-qfbv-aigs-countbits128-tseitin,95810,287041,287041,0,-1,-1,-1,83.859,83.988,0,0.20,84.51,0,8123,6,81.867,81.722,0.000,0.000,0,2,0,0,0,0
0297c2a35f116ffd5382aea5b421e6df-Urquhart-s3-b3.shuffled-as.sat03-1556,45,376,376,0,-1,-1,-1,0.000,0.017,0,0.04,0.03,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
02b69d0e5c2b68d5c3d650164b6c277d-Q3inK08,28,1680,1680,0,-1,-1,-1,0.048,0.057,0,0.02,0.07,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
02bc149bbe801807912f651c7bad3e74-dead-dnd008.shuffled-as.sat05-3114,1568,13423,13423,0,-1,-1,-1,0.035,0.050,0,0.02,0.08,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
02c3f1d24074cba45a64d0b4b5aa0238-g2-hwmcc15deep-bobpcihm-k32,204319,566625,566625,0,-1,-1,-1,272.286,272.613,0,0.40,273.64,0,15325,748,262.801,261.173,0.000,0.000,0,270,0,0,0,0
02c6fe8483e4f4474b7ac9731772535d-ncc_none_7047_6_3_3_0_0_420,1484350,5359707,5359707,0,-1,-1,-1,156.593,160.338,0,4.52,170.34,0,450138,23,0.000,0.000,0.000,0.000,0,0,0,0,0,0
02cfa5a71b5c89a1b10b5f5a5221ed05-clauses-8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
02d8847ee38504792705d794eb93e9a7-traffic_b_unsat,26061,742909,742909,0,-1,-1,-1,13.372,14.254,0,0.48,15.93,0,0,8,0.569,0.563,0.000,0.000,0,3,0,0,0,0
02eef920cd1aab9ef3492fe27bf515c4-php-025-024.shuffled-as.sat05-1191,600,7225,7225,0,-1,-1,-1,0.053,0.057,0,0.01,0.08,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
02f2343e32f9070f149708d77556b4aa-Kakuro-easy-117-ext.xml.hg_5,145123,17997887,17849051,158,158,0,68098,85.075,124.265,158,9.97,169.11,157,0,1,5.618,5.401,0.200,0.000,1,0,1,0,0,0
03041657b7177746724b819433c83b20-blocks-4-ipc5-h21-unknown,136756,905605,905605,0,-1,-1,-1,1003.247,1003.950,0,0.48,1005.69,0,156,152,935.545,933.955,0.000,0.000,0,151,0,0,0,0
