Filename,exit_code,real_time,solve_real_time,SAT_verified
0415acae197134f9d1cd7bea5ac3f2fd-jgiraldezlevy.2200.9086.08.40.136,10,35.17,35.16,0,35.17
041699620802b7ed905f93976ae60bef-longmult9,20,1.27,1.27,0,1.27
041ef0a56340a623c38e6b9012933624-shuffling-2-s554396412-of-bench-sat04-318.used-as.sat04-598,20,989.18,989.17,0,989.18
0421d8c1dec913b76dc72d781a864a80-dead-dnd006.shuffled-as.sat05-3112,20,425.19,425.19,0,425.19
04283728b84c4b0ff6cb44ca4bc4ab65-new-difficult-28-302-26-75,10,0.03,0.03,0,0.03
042846b7b23a617ad1730e9eb2dbdceb-ctl_4291_567_9_unsat_pre,20,629.82,629.81,0,629.82
04327b18171b43ff06586707499b97fc-hypercube4.shuffled-as.sat03-1434,20,0.03,0.03,0,0.03
043f806db615f7a138d4beffe3367c1a-frb45-21-1.used-as.sat04-883,10,497.45,497.44,0,497.45
04411a580ede5fd258d84ce872b5f53b-EDP3-50000,0,5000.28,5000.01,0,5000.28
0445a4d6be24882bac0988a055e7f379-unsat-set-a-fclqcolor-20-13-14.sat05-1278.reshuffled-07-sc2007,0,5000.03,5000.01,0,5000.03
0447371bb8a97e8fe5d3cee6de1db766-UTI-20-10p0-sc2009,20,421.99,421.97,0,421.99
044d27388c142e8e47812d9518e01b2f-shuffling-2-s2123257475-of-bench-sat04-327.used-as.sat04-589,20,6.82,6.82,0,6.82
044eced3d5aac22e0f34ad02071132f7-Q32inK10,20,39.72,39.72,0,39.72
04557a22f623dcbae86173fced057c99-baseballcover14with25,20,91.95,91.93,0,91.95
045613366353b062992e68937ca53edf-mrpp_6x6#14_12,10,1.68,1.67,0,1.68
0458851a021830f297e5dc3418ece838-g2-T96.1.1,20,1680.92,1679.50,0,1680.92
0462a0427297f8979588174b502bd044-mod2c-rand3bip-sat-230-1.shuffled-as.sat05-2503,10,153.01,153.00,0,153.01
0463b72200ae80c02835c027d3606c4e-battleship-13-25-sat,10,0.54,0.54,0,0.54
04674c7c9520c7edc0426b820f837726-hwb-n30-01-S682466202.shuffled-as.sat03-1632,0,5000.02,5000.01,0,5000.02
047c92e7c0a36a23d8107f4313517719-rubikcube701-sc2017,20,2543.33,2543.33,0,2543.33
048a70da40ea4908c783b8314be2da97-aes_32_2_keyfind_1,0,5000.01,5000.00,0,5000.01
0491901f00c8663e5b49a0dbbf96412f-rbsat-v945c61409g4,10,48.21,48.20,0,48.21
04935c7718d4ada8516e0d99c46df41b-g2-newton.8.3.i.smt2-cvc4,10,502.05,502.00,0,502.05
04b2a7f442ed1b15439d0678ce902d6f-f2clk_40.shuffled,20,5.73,5.72,0,5.73
04d28cb98f3362dfcd4ab74d4bb82de3-ex065_24,0,5000.04,5000.02,0,5000.04
04d2cca932a87b98ebfc7bbd0fe6ed5d-safe009_pso.oepc_true-unreach-call.i-cbmc-u2,20,1.34,1.33,0,1.34
04dd37bd8e319df958e1e091ec60de5b-gensys-icl003.shuffled-as.sat05-2715,20,5.76,5.75,0,5.76
04e219c640ed59dc68ea2d50493de5b5-mp1-Nb5T15,10,37.61,37.60,0,37.61
04e50bc7a121716e396dc538ab24490e-5col120_15_5.shuffled,20,1520.56,1520.55,0,1520.56
04f8b455b41f208ea19769f051ddcb1b-equilarge_l2.shuffled-as.sat05-519,0,5000.01,5000.00,0,5000.01
04f9f1f61d99108b7ad0fa77d275dc4c-3col260_5_9.shuffled,10,0.53,0.53,0,0.53
04fa0a71339fa76067a75ff448ef6f67-sat-strips-gripper-12t23.sat05-1144.reshuffled-07,10,1.47,1.46,0,1.47
